# Firewall Logs - CSV Format: timestamp,src_ip,dst_ip,port,action,bytes
2026-07-15T10:23:45Z,192.168.1.100,10.0.0.50,443,ALLOW,15234
2026-07-15T10:24:10Z,203.0.113.45,192.168.1.1,80,DENY,512
2026-07-15T10:25:33Z,10.0.0.25,172.16.0.10,22,ALLOW,2048
2026-07-15T10:26:01Z,198.51.100.22,192.168.1.50,3389,DENY,256
2026-07-15T10:27:15Z,192.168.1.200,8.8.8.8,53,ALLOW,128
2026-07-15T10:28:44Z,10.10.10.5,10.0.0.1,8080,ALLOW,65536
2026-07-15T10:29:02Z,172.16.5.100,203.0.113.100,443,ALLOW,4096
2026-07-15T10:30:18Z,185.220.101.34,192.168.1.1,22,DENY,0
2026-07-15T10:31:55Z,192.168.1.105,104.244.42.129,443,ALLOW,32768
2026-07-15T10:32:39Z,10.0.0.30,10.0.0.50,5432,ALLOW,8192
2026-07-15T10:33:12Z,198.51.100.50,192.168.2.1,80,DENY,1024
2026-07-15T10:34:01Z,192.168.1.150,151.101.65.69,443,ALLOW,20480
2026-07-15T10:35:22Z,10.0.0.99,10.0.0.1,445,DENY,0
2026-07-15T10:36:45Z,203.0.113.77,192.168.1.25,21,DENY,0
2026-07-15T10:37:11Z,192.168.1.10,172.217.3.110,443,ALLOW,102400
