window_id,entity_id,entity_label,hour,hour_of_day,login_success_count,login_failure_count,unique_source_ips,failure_ratio,success_rate,time_since_last_login_min,is_business_hours,dns_query_entropy,domain_length,bytes_transferred,unique_dest_ports,peer_deviation,privacy_risk,login_failure_count_rolling_4h,login_success_count_rolling_4h,bytes_transferred_rolling_4h
2026-07-20_09_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_09,9,6,0,1,0.0,1.0,9.25,True,0.0,0.0,0.0,0,-1.224744871391589,HIGH,0.0,6.0,0.0
2026-07-20_10_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_10,10,4,1,1,0.2,0.8,12.286666666666665,True,0.0,0.0,0.0,0,0.4999999999999999,HIGH,1.0,10.0,0.0
2026-07-20_11_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_11,11,2,0,1,0.0,1.0,15.05,True,0.0,0.0,0.0,0,-0.719874033065356,HIGH,1.0,12.0,0.0
2026-07-20_12_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_12,12,2,0,1,0.0,1.0,36.15,True,0.0,0.0,0.0,0,-0.49999999999999994,HIGH,1.0,14.0,0.0
2026-07-20_13_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_13,13,2,0,1,0.0,1.0,16.358333333333334,True,0.0,0.0,0.0,0,-0.5,HIGH,1.0,10.0,0.0
2026-07-20_14_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-20_14,14,2,0,1,0.0,1.0,38.425,True,0.0,0.0,0.0,0,-1.118033988749895,HIGH,0.0,8.0,0.0
2026-07-20_09_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_09,9,3,0,1,0.0,1.0,10.808333333333334,True,0.0,0.0,0.0,0,-1.224744871391589,HIGH,0.0,3.0,0.0
2026-07-20_10_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_10,10,4,0,1,0.0,1.0,17.974999999999998,True,0.0,0.0,0.0,0,-2.0,HIGH,0.0,7.0,0.0
2026-07-20_11_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_11,11,2,1,1,0.3333333333333333,0.6666666666666666,19.7,True,0.0,0.0,0.0,0,-0.4949133977324323,HIGH,1.0,9.0,0.0
2026-07-20_12_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-20_12,12,5,0,1,0.0,1.0,12.656666666666666,True,0.0,0.0,0.0,0,-0.49999999999999994,HIGH,1.0,14.0,0.0
