window_id,entity_id,entity_label,hour,hour_of_day,login_success_count,login_failure_count,unique_source_ips,failure_ratio,success_rate,time_since_last_login_min,is_business_hours,dns_query_entropy,domain_length,bytes_transferred,unique_dest_ports,peer_deviation,privacy_risk
2026-07-13_09_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_09,9,6,0,1,0.0,1.0,6.416666666666666,True,0.0,0.0,0.0,0,-1.224744871391589,HIGH
2026-07-13_09_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_09,9,5,1,1,0.16666666666666666,0.8333333333333334,10.0,True,0.0,0.0,0.0,0,0.816496580927726,HIGH
2026-07-13_09_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_09,9,5,1,1,0.16666666666666666,0.8333333333333334,5.203333333333333,True,0.0,0.0,0.0,0,0.816496580927726,HIGH
2026-07-13_09_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_09,9,3,1,1,0.25,0.75,16.372222222222224,True,0.0,0.0,0.0,0,0.816496580927726,HIGH
2026-07-13_09_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_09,9,6,0,1,0.0,1.0,6.806666666666667,True,0.0,0.0,0.0,0,-1.224744871391589,HIGH
2026-07-13_10_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_10,10,3,2,1,0.4,0.6,11.466666666666665,True,0.0,0.0,0.0,0,1.224744871391589,HIGH
2026-07-13_10_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_10,10,4,0,1,0.0,1.0,15.758333333333333,True,0.0,0.0,0.0,0,-0.816496580927726,HIGH
2026-07-13_10_ps_d1ddcc76d428753d,ps_d1ddcc76d428753d,carol,2026-07-13_10,10,3,0,1,0.0,1.0,18.522222222222222,True,0.0,0.0,0.0,0,-0.816496580927726,HIGH
2026-07-13_10_ps_d3a36e0ee74e65f4,ps_d3a36e0ee74e65f4,alice,2026-07-13_10,10,3,0,1,0.0,1.0,19.2,True,0.0,0.0,0.0,0,-0.816496580927726,HIGH
2026-07-13_10_ps_df90dc50ebbb914c,ps_df90dc50ebbb914c,bob,2026-07-13_10,10,3,2,1,0.4,0.6,13.123333333333335,True,0.0,0.0,0.0,0,1.224744871391589,HIGH
2026-07-13_11_ps_ba91f0aa805d2926,ps_ba91f0aa805d2926,dave,2026-07-13_11,11,2,0,1,0.0,1.0,39.5,True,0.0,0.0,0.0,0,0.0,MEDIUM
2026-07-13_11_ps_cd7c1c4b4a051b97,ps_cd7c1c4b4a051b97,erin,2026-07-13_11,11,2,0,1,0.0,1.0,28.625,True,0.0,0.0,0.0,0,0.0,MEDIUM
